title,Bag_of_words
Harry Potter and the Order of the Phoenix, fantasy youngadult j.k.rowling marygrandpré (illustrator) door end silent corridor ’ haunting harry pottter dream else would waking middle night screaming terror lot mind fifth year hogwarts defense dark art teacher personality like poisoned honey big surprise gryffindor quidditch team loomi
The Hunger Games, youngadult fiction suzannecollins could survive wild every one make sure live see morning ruin place known north america lie nation panem shining capitol surrounded twelve outlying district harsh cruel keep line forcing send boy girl age
Pride and Prejudice," classics fiction janeausten annaquindlen (introduction) alternate cover edition isbn 9780679783268since immediate success 1813 pride prejudice remained one popular novel english language jane austen called brilliant work darling child vivacious heroine elizabeth bennet delightful creature ever appeared print ."" romantic clash opinionated"
Twilight, youngadult fantasy stepheniemeyer three thing absolutely positive first edward vampire second part — know dominant might thirsted blood third unconditionally irrevocably love deeply seductive extraordinarily suspenseful twilight story bite
Animal Farm, classics fiction georgeorwell russellbaker (preface) c.m.woodhouse (introduction) librarian note alternate cover edition book farm taken overworked mistreated animal flaming idealism stirring slogan set create paradise progress justice equality thus stage one telling satiric fable ever penned – razor edged fairy tale grown
The Book Thief, historical historicalfiction markuszusak librarian note alternate cover edition found hereit 1939 nazi germany country holding breath death never busier still brother graveside liesel life changed pick single object partially hidden snow gravedigger handbook left behind accident f
The Chronicles of Narnia, fantasy classics c.s.lewis paulinebaynes (illustrator) librarian note alternate cover edition found 2005 journey end world fantastic creature epic battle good evil — could reader ask one book lion witch wardrobe written 1949 clive staple lewis stop six book follow
The Fault in Our Stars, youngadult romance johngreen fabiolastevenson (narradora) despite tumor shrinking medical miracle bought year hazel never anything terminal final chapter inscribed upon diagnosis gorgeous plot twist named augustus water suddenly appears cancer kid support group story completely rewritten insightful bold irreverent raw fault star
Gone with the Wind, classics historical margaretmitchell scarlett hara beautiful spoiled daughter well georgia plantation owner must use every mean disposal claw way poverty find sherman march sea
The Hitchhiker's Guide to the Galaxy, sciencefiction fiction douglasadams beautifully illustrated edition new york time bestselling classic timed celebrate pivotal 42nd anniversary original publication -- never seen illustration award winner chris riddell second earth demolished make way galactic freeway arthur dent plucked planet friend ford prefect researcher
The Giving Tree, childrens childrens shelsilverstein tree ... loved little boy begin story unforgettable perception beautifully written illustrated gifted versatile shel silverstein every day would come eat apple swing branch slide trunk happy grew older began want tr
Wuthering Heights, classics fiction emilybrontë richardj.dunn (editor) charlottebrontë (commentary) robertheindel (illustrator) sőtéristván (translator) find redesigned cover edition best selling norton critical based 1847 first novel fourth editor collated text several modern edition corrected number variant including accidental accompanied entirely new explanatory annotation
The Picture of Dorian Gray, classics fiction oscarwilde jeffreyeugenides (introduction) benbarnes (narrator) written distinctively dazzling manner oscar wilde ’ story fashionable young man sell soul eternal youth beauty author popular work tale dorian gray moral disintegration caused scandal ﬁrst appeared 1890 though attacked novel corrupting inﬂuence responded fact
